client_id;sexe;type_conduite;formule;type_vehicule;usage_vehicule;Tranche d'age;Revenus_tranche;Enfants;Enfants accompagne;Tarif devis;Tranche d'age vehicule
228;M;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[25_40];[20k_40k];Oui;Non;[300_600];[0_5]
229;F;Highly Urban/ Urban;dev_premium;Minivan;Private;[60 et +];[0_20k];Non;Non;[300_600];[0_5]
230;F;Highly Urban/ Urban;dev_express;Pickup;Private;[60 et +];[20k_40k];Non;Non;[0_300];[0_5]
231;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[25_40];[40k_60k];Non;Non;[0_300];Non renseigné
232;M;Highly Urban/ Urban;dev_express;Minivan;Private;[0_25];[60k et +];Oui;Oui;[0_300];[5_10]
233;F;Highly Urban/ Urban;dev_express;Minivan;Private;[25_40];[60k et +];Non;Non;[0_300];Non renseigné
234;F;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[40_60];[60k et +];Non;Non;[0_300];[10 et +]
235;F;z_Highly Rural/ Rural;dev_integral;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[300_600];[5_10]
236;M;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];[40k_60k];Non;Non;[0_300];[10 et +]
237;F;Highly Urban/ Urban;dev_premium;Panel Truck;Commercial;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
238;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
239;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[20k_40k];Oui;Non;[0_300];[0_5]
240;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
241;F;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[60k et +];Non;Non;[0_300];[10 et +]
242;M;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[5_10]
243;F;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[0_20k];Non;Non;[0_300];[10 et +]
244;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[60k et +];Oui;Oui;[0_300];[10 et +]
245;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[40k_60k];Oui;Non;[0_300];[5_10]
246;F;Highly Urban/ Urban;dev_integral;Van;Private;[60 et +];Non renseigné;Non;Non;[0_300];[10 et +]
247;M;Highly Urban/ Urban;dev_premium;Pickup;Commercial;[25_40];[60k et +];Oui;Oui;[300_600];[5_10]
248;M;z_Highly Rural/ Rural;dev_integral;Van;Commercial;[0_25];[0_20k];Oui;Non;[300_600];[0_5]
249;M;Highly Urban/ Urban;dev_integral;Pickup;Private;[25_40];[20k_40k];Non;Non;[300_600];[10 et +]
250;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[25_40];[60k et +];Non;Non;[0_300];[10 et +]
251;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
252;F;z_Highly Rural/ Rural;dev_express;z_SUV;Commercial;[25_40];[40k_60k];Non;Non;[0_300];[10 et +]
253;M;Highly Urban/ Urban;dev_premium;Minivan;Commercial;[40_60];[40k_60k];Non;Non;[300_600];[5_10]
254;F;Highly Urban/ Urban;dev_express;Van;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
255;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[0_25];[20k_40k];Non;Non;[300_600];[5_10]
256;M;z_Highly Rural/ Rural;dev_premium;Van;Commercial;[60 et +];[60k et +];Oui;Non;[300_600];Non renseigné
257;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];Non renseigné;Oui;Non;[300_600];[10 et +]
258;F;Highly Urban/ Urban;dev_express;Minivan;Private;[0_25];[20k_40k];Oui;Oui;[0_300];[5_10]
259;F;z_Highly Rural/ Rural;dev_premium;Minivan;Private;[60 et +];[0_20k];Non;Non;[300_600];[0_5]
260;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[40k_60k];Non;Non;[0_300];[10 et +]
261;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[0_25];[60k et +];Non;Non;[300_600];[5_10]
262;F;Highly Urban/ Urban;dev_express;Van;Commercial;[60 et +];[60k et +];Oui;Non;[0_300];[5_10]
263;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[0_25];[60k et +];Non;Non;[0_300];[10 et +]
264;M;Highly Urban/ Urban;dev_express;Van;Commercial;[0_25];[60k et +];Non;Non;[0_300];[10 et +]
265;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[0_20k];Non;Non;[300_600];Non renseigné
266;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];[5_10]
267;M;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];[0_5]
268;M;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[0_25];[60k et +];Non;Non;[0_300];[10 et +]
269;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
270;F;Highly Urban/ Urban;dev_premium;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
271;F;Highly Urban/ Urban;dev_integral;Sports Car;Commercial;[25_40];[40k_60k];Non;Non;[300_600];[10 et +]
272;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
273;F;Highly Urban/ Urban;dev_integral;Van;Commercial;[40_60];[60k et +];Non;Non;[300_600];[5_10]
274;M;Highly Urban/ Urban;dev_express;Van;Private;[25_40];[60k et +];Non;Non;[0_300];[0_5]
275;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[40k_60k];Oui;Non;[0_300];[0_5]
276;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
277;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[25_40];[60k et +];Oui;Oui;[300_600];[5_10]
278;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[20k_40k];Non;Non;[0_300];[0_5]
279;M;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[25_40];[60k et +];Non;Non;[300_600];[10 et +]
280;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[0_20k];Non;Non;[0_300];[0_5]
281;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
282;M;Highly Urban/ Urban;dev_premium;Sports Car;Private;[0_25];[0_20k];Non;Non;[300_600];[10 et +]
283;F;z_Highly Rural/ Rural;dev_integral;Sports Car;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
284;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[20k_40k];Non;Non;[300_600];[10 et +]
285;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[60k et +];Non;Non;[300_600];[0_5]
286;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[0_25];[20k_40k];Non;Non;[300_600];[0_5]
287;F;z_Highly Rural/ Rural;dev_integral;Pickup;Commercial;[40_60];[20k_40k];Non;Non;[300_600];[10 et +]
288;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];Non renseigné;Non;Non;[300_600];[5_10]
289;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
290;M;Highly Urban/ Urban;dev_premium;Pickup;Private;[60 et +];[60k et +];Oui;Non;[300_600];[10 et +]
291;M;Highly Urban/ Urban;dev_express;Pickup;Private;[60 et +];[40k_60k];Non;Non;[0_300];[5_10]
292;M;Highly Urban/ Urban;dev_integral;Pickup;Private;[0_25];[40k_60k];Non;Non;[300_600];[5_10]
293;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[0_25];[20k_40k];Non;Non;[300_600];Non renseigné
294;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[0_25];[60k et +];Non;Non;[300_600];[0_5]
295;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[25_40];[20k_40k];Oui;Non;[0_300];[0_5]
296;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Oui;Non;[300_600];[10 et +]
297;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[0_25];[40k_60k];Non;Non;[300_600];Non renseigné
298;F;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[60k et +];Oui;Oui;[0_300];[10 et +]
299;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
300;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[0_25];[40k_60k];Oui;Non;[0_300];[10 et +]
301;M;z_Highly Rural/ Rural;dev_integral;Sports Car;Commercial;[40_60];[20k_40k];Non;Non;[0_300];[0_5]
302;F;z_Highly Rural/ Rural;dev_integral;Pickup;Private;[0_25];[60k et +];Oui;Non;[0_300];[10 et +]
303;F;z_Highly Rural/ Rural;dev_express;z_SUV;Private;[40_60];[0_20k];Oui;Non;[0_300];[0_5]
304;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[0_20k];Oui;Oui;[300_600];[0_5]
305;F;z_Highly Rural/ Rural;dev_express;Pickup;Private;[60 et +];[40k_60k];Non;Non;[0_300];[10 et +]
306;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
307;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[0_25];[60k et +];Non;Non;[0_300];[10 et +]
308;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Non;Non;[0_300];[0_5]
309;F;Highly Urban/ Urban;dev_premium;Minivan;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
310;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[40_60];[60k et +];Non;Non;[0_300];[10 et +]
311;F;z_Highly Rural/ Rural;dev_express;Minivan;Commercial;[40_60];[0_20k];Non;Non;[0_300];[10 et +]
312;M;Highly Urban/ Urban;dev_express;Sports Car;Commercial;[25_40];[40k_60k];Non;Non;[0_300];[5_10]
313;M;z_Highly Rural/ Rural;dev_premium;Minivan;Private;[40_60];[20k_40k];Non;Non;[300_600];[5_10]
314;M;Highly Urban/ Urban;dev_integral;Sports Car;Private;[60 et +];[40k_60k];Oui;Oui;[300_600];[0_5]
315;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];[60k et +];Oui;Non;[300_600];[10 et +]
316;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[0_25];[0_20k];Non;Non;[300_600];[0_5]
317;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
318;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[0_25];[20k_40k];Non;Non;[0_300];[5_10]
319;F;z_Highly Rural/ Rural;dev_express;z_SUV;Private;[40_60];[0_20k];Oui;Non;[0_300];[5_10]
320;M;z_Highly Rural/ Rural;dev_integral;Pickup;Private;[60 et +];Non renseigné;Oui;Oui;[300_600];[5_10]
321;F;Highly Urban/ Urban;dev_integral;Van;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
322;F;z_Highly Rural/ Rural;dev_integral;z_SUV;Private;[60 et +];[0_20k];Oui;Oui;[300_600];[0_5]
323;F;Highly Urban/ Urban;dev_integral;Sports Car;Private;[60 et +];[60k et +];Non;Non;[300_600];[5_10]
324;F;z_Highly Rural/ Rural;dev_express;Pickup;Commercial;[40_60];[0_20k];Oui;Non;[0_300];[0_5]
325;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[20k_40k];Oui;Non;[0_300];[0_5]
326;M;Highly Urban/ Urban;dev_express;Minivan;Commercial;[0_25];[60k et +];Non;Non;[0_300];[0_5]
327;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
328;F;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[60 et +];[20k_40k];Non;Non;[300_600];[10 et +]
329;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[40k_60k];Non;Non;[300_600];[0_5]
330;F;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[60 et +];[20k_40k];Non;Non;[300_600];[5_10]
331;F;Highly Urban/ Urban;dev_vip;Pickup;Private;[40_60];[60k et +];Non;Non;[600 et +];[5_10]
332;M;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[20k_40k];Oui;Oui;[0_300];[0_5]
333;M;Highly Urban/ Urban;dev_express;Sports Car;Private;[25_40];[20k_40k];Non;Non;[0_300];[0_5]
334;M;z_Highly Rural/ Rural;dev_integral;Van;Commercial;[40_60];[20k_40k];Oui;Non;[0_300];[5_10]
335;F;Highly Urban/ Urban;dev_integral;Minivan;Commercial;[60 et +];[60k et +];Oui;Non;[300_600];[5_10]
336;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[60k et +];Oui;Non;[0_300];[10 et +]
337;M;Highly Urban/ Urban;dev_integral;Sports Car;Private;[0_25];[40k_60k];Non;Non;[0_300];[10 et +]
338;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[40_60];[40k_60k];Non;Non;[300_600];[5_10]
339;M;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[40_60];[60k et +];Oui;Non;[0_300];[5_10]
340;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[25_40];[0_20k];Oui;Oui;[0_300];[5_10]
341;M;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[60k et +];Oui;Non;[0_300];[5_10]
342;M;Highly Urban/ Urban;dev_integral;Sports Car;Commercial;[60 et +];[40k_60k];Oui;Non;[300_600];[0_5]
343;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[25_40];[60k et +];Non;Non;[300_600];[0_5]
344;M;Highly Urban/ Urban;dev_integral;Minivan;Commercial;[60 et +];[20k_40k];Non;Non;[0_300];[5_10]
345;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[40_60];[60k et +];Non;Non;[300_600];[5_10]
346;M;Highly Urban/ Urban;dev_premium;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];Non renseigné
347;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[25_40];[60k et +];Non;Non;[0_300];[10 et +]
348;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[0_25];[60k et +];Oui;Non;[0_300];[0_5]
349;F;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[0_20k];Non;Non;[0_300];[10 et +]
350;M;z_Highly Rural/ Rural;dev_integral;Sports Car;Private;[25_40];[0_20k];Non;Non;[300_600];[0_5]
351;F;Highly Urban/ Urban;dev_vip;Minivan;Private;[60 et +];[60k et +];Oui;Oui;[600 et +];[10 et +]
352;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[25_40];[40k_60k];Non;Non;[300_600];[10 et +]
353;M;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[60 et +];[60k et +];Oui;Non;[300_600];[0_5]
354;F;Highly Urban/ Urban;dev_integral;Sports Car;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
355;M;z_Highly Rural/ Rural;dev_integral;Panel Truck;Commercial;[60 et +];[60k et +];Oui;Non;[300_600];[0_5]
356;F;Highly Urban/ Urban;dev_express;Minivan;Private;[40_60];[60k et +];Oui;Non;[0_300];[10 et +]
357;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];Non renseigné;Non;Non;[0_300];[10 et +]
358;M;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[25_40];[60k et +];Oui;Non;[300_600];[10 et +]
359;M;Highly Urban/ Urban;dev_express;Pickup;Private;[0_25];[20k_40k];Oui;Non;[0_300];[10 et +]
360;F;z_Highly Rural/ Rural;dev_integral;Pickup;Commercial;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
361;F;Highly Urban/ Urban;dev_express;Van;Private;[60 et +];[40k_60k];Non;Non;[0_300];[10 et +]
362;M;z_Highly Rural/ Rural;dev_premium;z_SUV;Commercial;[60 et +];[20k_40k];Oui;Non;[300_600];[5_10]
363;M;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[0_25];[40k_60k];Oui;Non;[0_300];[5_10]
364;F;z_Highly Rural/ Rural;dev_premium;Minivan;Private;[40_60];[40k_60k];Oui;Non;[300_600];[0_5]
365;M;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[25_40];[0_20k];Oui;Non;[0_300];[0_5]
366;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];Non renseigné;Oui;Non;[300_600];Non renseigné
367;F;z_Highly Rural/ Rural;dev_integral;Minivan;Private;[40_60];[20k_40k];Oui;Non;[0_300];[5_10]
368;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[60k et +];Non;Non;[0_300];[5_10]
369;F;z_Highly Rural/ Rural;dev_express;Minivan;Private;[60 et +];[20k_40k];Non;Non;[0_300];[5_10]
370;M;Highly Urban/ Urban;dev_premium;Sports Car;Private;[0_25];[40k_60k];Oui;Non;[300_600];[10 et +]
371;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[25_40];[0_20k];Oui;Oui;[0_300];[10 et +]
372;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];Non renseigné;Non;Non;[300_600];Non renseigné
373;M;z_Highly Rural/ Rural;dev_integral;Panel Truck;Commercial;[60 et +];[40k_60k];Non;Non;[300_600];[5_10]
374;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[0_20k];Oui;Non;[300_600];[0_5]
375;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[20k_40k];Non;Non;[0_300];Non renseigné
376;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[40_60];[20k_40k];Oui;Non;[0_300];[5_10]
377;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[60 et +];[20k_40k];Oui;Non;[300_600];[10 et +]
378;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[0_25];[60k et +];Oui;Non;[300_600];[10 et +]
379;M;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[40k_60k];Oui;Oui;[300_600];[5_10]
380;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[40_60];[60k et +];Non;Non;[300_600];Non renseigné
381;M;Highly Urban/ Urban;dev_express;Minivan;Private;[0_25];[60k et +];Oui;Non;[0_300];[10 et +]
382;M;Highly Urban/ Urban;dev_express;Van;Commercial;[60 et +];[40k_60k];Non;Non;[0_300];[5_10]
383;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
384;M;Highly Urban/ Urban;dev_premium;Sports Car;Private;[60 et +];[60k et +];Non;Non;[300_600];[10 et +]
385;M;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[0_25];[60k et +];Oui;Non;[0_300];[10 et +]
386;F;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[60 et +];[20k_40k];Oui;Non;[0_300];[0_5]
387;M;Highly Urban/ Urban;dev_express;Minivan;Private;[0_25];[60k et +];Non;Non;[0_300];[10 et +]
388;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];Non renseigné;Non;Non;[0_300];[10 et +]
389;M;z_Highly Rural/ Rural;dev_express;z_SUV;Private;[40_60];[20k_40k];Non;Non;[0_300];[5_10]
390;M;Highly Urban/ Urban;dev_express;Minivan;Private;[60 et +];[60k et +];Oui;Non;[0_300];[10 et +]
391;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Oui;Oui;[0_300];[10 et +]
392;F;Highly Urban/ Urban;dev_integral;Sports Car;Private;[40_60];Non renseigné;Non;Non;[300_600];[10 et +]
393;F;Highly Urban/ Urban;dev_express;Minivan;Commercial;[40_60];[0_20k];Non;Non;[0_300];[10 et +]
394;M;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[40_60];[60k et +];Non;Non;[0_300];[5_10]
395;F;Highly Urban/ Urban;dev_express;Van;Private;[60 et +];[60k et +];Non;Non;[0_300];[0_5]
396;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[20k_40k];Non;Non;[0_300];[5_10]
397;F;Highly Urban/ Urban;dev_premium;Pickup;Commercial;[40_60];[60k et +];Oui;Oui;[300_600];[5_10]
398;M;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[60 et +];[0_20k];Non;Non;[300_600];[10 et +]
399;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Non;Non;[0_300];[10 et +]
400;M;z_Highly Rural/ Rural;dev_integral;Minivan;Commercial;[60 et +];[60k et +];Oui;Oui;[0_300];[5_10]
401;F;Highly Urban/ Urban;dev_integral;Sports Car;Commercial;[0_25];Non renseigné;Non;Non;[300_600];[0_5]
402;M;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[0_25];[60k et +];Non;Non;[300_600];[5_10]
403;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[0_300];[5_10]
404;M;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
405;M;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
406;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[0_25];[40k_60k];Oui;Non;[0_300];[5_10]
407;F;Highly Urban/ Urban;dev_integral;z_SUV;Commercial;[0_25];[60k et +];Oui;Non;[0_300];[5_10]
408;M;Highly Urban/ Urban;dev_premium;Minivan;Private;[0_25];[60k et +];Oui;Non;[300_600];[5_10]
409;M;Highly Urban/ Urban;dev_premium;Van;Commercial;[40_60];Non renseigné;Non;Non;[300_600];[10 et +]
410;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[60 et +];[0_20k];Non;Non;[300_600];[0_5]
411;M;Highly Urban/ Urban;dev_integral;Van;Commercial;[60 et +];[20k_40k];Oui;Non;[300_600];[0_5]
412;M;Highly Urban/ Urban;dev_express;Sports Car;Private;[40_60];[60k et +];Non;Non;[0_300];[10 et +]
413;F;Highly Urban/ Urban;dev_premium;Pickup;Private;[60 et +];[60k et +];Non;Non;[300_600];Non renseigné
414;F;z_Highly Rural/ Rural;dev_premium;z_SUV;Private;[0_25];[0_20k];Non;Non;[300_600];[10 et +]
415;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
416;F;Highly Urban/ Urban;dev_express;Pickup;Private;[40_60];[20k_40k];Non;Non;[0_300];Non renseigné
417;M;Highly Urban/ Urban;dev_integral;Pickup;Private;[40_60];[0_20k];Non;Non;[300_600];[0_5]
418;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[0_20k];Oui;Non;[300_600];[0_5]
419;M;Highly Urban/ Urban;dev_express;Pickup;Private;[60 et +];[0_20k];Non;Non;[0_300];[0_5]
420;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[25_40];Non renseigné;Oui;Non;[300_600];[0_5]
421;M;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[60 et +];[20k_40k];Oui;Oui;[300_600];[0_5]
422;M;Highly Urban/ Urban;dev_integral;Van;Private;[0_25];[60k et +];Non;Non;[300_600];[10 et +]
423;M;z_Highly Rural/ Rural;dev_integral;Minivan;Private;[60 et +];[0_20k];Non;Non;[300_600];[0_5]
424;M;Highly Urban/ Urban;dev_integral;Minivan;Commercial;[60 et +];[60k et +];Non;Non;[300_600];[5_10]
425;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
426;M;z_Highly Rural/ Rural;dev_premium;z_SUV;Commercial;[40_60];[60k et +];Non;Non;[300_600];[5_10]
427;M;Highly Urban/ Urban;dev_premium;Minivan;Commercial;[40_60];[20k_40k];Oui;Oui;[300_600];[5_10]
428;F;Highly Urban/ Urban;dev_integral;Minivan;Private;[60 et +];[60k et +];Non;Non;[300_600];[0_5]
429;F;Highly Urban/ Urban;dev_express;Panel Truck;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
430;F;z_Highly Rural/ Rural;dev_integral;z_SUV;Private;[60 et +];[40k_60k];Oui;Oui;[300_600];[10 et +]
431;F;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[40_60];[20k_40k];Non;Non;[0_300];[0_5]
432;M;z_Highly Rural/ Rural;dev_vip;Panel Truck;Commercial;[0_25];[60k et +];Non;Non;[600 et +];[0_5]
433;F;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[60 et +];Non renseigné;Non;Non;[0_300];[10 et +]
434;F;Highly Urban/ Urban;dev_express;Minivan;Private;[0_25];[20k_40k];Non;Non;[0_300];[10 et +]
435;F;Highly Urban/ Urban;dev_integral;Panel Truck;Commercial;[60 et +];[40k_60k];Non;Non;[300_600];Non renseigné
436;F;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[0_20k];Non;Non;[0_300];[0_5]
437;F;Highly Urban/ Urban;dev_express;Pickup;Commercial;[60 et +];[60k et +];Non;Non;[0_300];[10 et +]
438;F;Highly Urban/ Urban;dev_integral;Van;Private;[60 et +];[40k_60k];Oui;Non;[300_600];[10 et +]
439;M;Highly Urban/ Urban;dev_premium;z_SUV;Commercial;[60 et +];[0_20k];Oui;Non;[300_600];[5_10]
440;F;Highly Urban/ Urban;dev_integral;Sports Car;Private;[60 et +];[0_20k];Oui;Non;[0_300];[5_10]
441;F;Highly Urban/ Urban;dev_premium;Pickup;Commercial;[25_40];[0_20k];Non;Non;[300_600];[0_5]
442;F;Highly Urban/ Urban;dev_integral;Pickup;Private;[60 et +];Non renseigné;Non;Non;[300_600];Non renseigné
443;F;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[40_60];[20k_40k];Non;Non;[300_600];[10 et +]
444;F;Highly Urban/ Urban;dev_express;z_SUV;Commercial;[60 et +];[40k_60k];Oui;Non;[0_300];[5_10]
445;M;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Non;Non;[0_300];[10 et +]
446;F;Highly Urban/ Urban;dev_integral;Pickup;Commercial;[60 et +];[60k et +];Non;Non;[300_600];[0_5]
447;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[40_60];[60k et +];Oui;Non;[0_300];[5_10]
448;M;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[0_300];[5_10]
449;F;Highly Urban/ Urban;dev_express;z_SUV;Private;[60 et +];[0_20k];Oui;Oui;[0_300];[0_5]
450;F;Highly Urban/ Urban;dev_express;Sports Car;Private;[60 et +];[60k et +];Oui;Non;[0_300];[10 et +]
451;M;Highly Urban/ Urban;dev_express;Pickup;Commercial;[25_40];Non renseigné;Non;Non;[0_300];[0_5]
452;F;Highly Urban/ Urban;dev_integral;z_SUV;Private;[60 et +];[0_20k];Oui;Non;[300_600];[5_10]
453;F;Highly Urban/ Urban;dev_premium;z_SUV;Private;[40_60];[60k et +];Non;Non;[300_600];[10 et +]
454;M;Highly Urban/ Urban;dev_express;Van;Commercial;[40_60];[60k et +];Non;Non;[0_300];[0_5]
455;F;Highly Urban/ Urban;dev_express;Minivan;Commercial;[25_40];[40k_60k];Oui;Non;[0_300];[10 et +]
